as_of,n_names,spearman_final_vs_composite,mean_abs_tilt,max_abs_tilt,mean_confidence_c,mean_n,sparse_share,thin_share,ok_share,ranking_turnover_vs_productive,spearman_final_productive_vs_shadow,mean_abs_final_delta
2026-07-14,54,0.9468166393903487,5.496324938055347,8.842852172164408,0.9890128036204053,1251.1851851851852,0.0,0.0,1.0,0.14814814814814814,0.9996950638460071,0.2287264847617824
2026-07-15,54,0.9302706993261082,5.4962499383970576,8.843276196813433,0.9890349463610758,1244.5185185185185,0.0,0.0,1.0,0.14814814814814814,0.9996950638460071,0.23260900033089932
2026-07-16,54,0.9027830892193861,5.496338970393644,8.842060923230836,0.9890465421772416,1231.6296296296296,0.0,0.0,1.0,0.2777777777777778,0.9993138936535162,0.23256932363016972
2026-07-17,54,0.8936861532232028,5.496310614303741,8.84310890926091,0.9890452831870417,1226.1203703703704,0.0,0.0,1.0,0.16666666666666666,0.9995425957690107,0.2325952946731447
2026-07-20,54,0.9342609401046693,5.497478428299144,8.841295262620786,0.9894387085024432,1239.5,0.0,0.0,1.0,0.16666666666666666,0.9993138936535162,0.23246358217700178
2026-07-21,54,0.8792344475724654,5.496781661764808,8.841368850222485,0.989250141580211,1230.5277777777778,0.0,0.0,1.0,0.35185185185185186,0.9989327234610252,0.23247524754531326
2026-07-22,54,0.929041524682656,5.497751108357665,8.842492830019113,0.9895190205988119,1255.7314814814815,0.0,0.0,1.0,0.1111111111111111,0.9997712978845053,0.2324481262163385
