as_of,n_names,spearman_final_vs_composite,mean_abs_tilt,max_abs_tilt,mean_confidence_c,mean_n,sparse_share,thin_share,ok_share,ranking_turnover_vs_productive,spearman_final_productive_vs_shadow,mean_abs_final_delta
2026-08-05,54,0.9878976159144277,2.1759414494609577,3.7256623162046787,0.9894004904404868,1260.148148148148,0.0,0.0,1.0,0.0,0.9999999999999999,0.0
2026-08-06,54,0.9643592291827381,2.2016101409198314,3.8713329154097043,0.9892465989560397,1212.0,0.0,0.0,1.0,0.0,0.9999999999999999,0.0
2026-08-07,54,0.973089384410139,2.2114215104925217,3.838005302531908,0.9892334237129986,1206.6203703703704,0.0,0.0,1.0,0.0,0.9999999999999999,0.0
2026-08-10,54,0.975910043834572,2.203484616185532,3.8678431059998304,0.9892956344749828,1226.7222222222222,0.0,0.0,1.0,0.0,0.9999999999999999,0.0
2026-08-11,54,0.9706672781606035,2.1822141811105635,3.7682517702917027,0.9892992463198554,1231.7037037037037,0.0,0.0,1.0,0.0,0.9999999999999999,0.0
2026-08-12,54,0.9676189751895569,2.2014794712456953,3.8048576909697776,0.9893105998225289,1215.537037037037,0.0,0.0,1.0,0.0,0.9999999999999999,0.0
2026-08-13,54,0.9712009469437579,2.1954087620262692,3.867433918542003,0.9891472633840662,1213.648148148148,0.0,0.0,1.0,0.0,0.9999999999999999,0.0
