as_of,n_names,spearman_final_vs_composite,mean_abs_tilt,max_abs_tilt,mean_confidence_c,mean_n,sparse_share,thin_share,ok_share,ranking_turnover_vs_productive,spearman_final_productive_vs_shadow,mean_abs_final_delta
2026-07-14,54,0.9506671922624415,5.244457915964663,8.605442770088578,0.9890128036204054,1251.1851851851852,0.0,0.0,1.0,0.3333333333333333,0.9990851915380216,0.47597312165400146
2026-07-15,54,0.9348837379154471,5.244410575623961,8.60591131851452,0.9890349463610758,1244.5185185185185,0.0,0.0,1.0,0.2777777777777778,0.9990851915380216,0.4844483631039979
2026-07-16,54,0.9132291435456579,5.244538315859484,8.604568479317466,0.9890465421772416,1231.6296296296296,0.0,0.0,1.0,0.5,0.9978654469220506,0.48436997816433053
2026-07-17,54,0.9000554596242045,5.244483794873714,8.605726463445,0.9890452831870417,1226.1203703703704,0.0,0.0,1.0,0.37037037037037035,0.9990089574995235,0.48442211410317193
2026-07-20,54,0.9370437477033163,5.2457830518792266,8.603722513814088,0.9894387085024432,1239.5,0.0,0.0,1.0,0.24074074074074073,0.998856489422527,0.484158958596921
2026-07-21,54,0.8853728087042103,5.245078450473501,8.603803817318173,0.989250141580211,1230.5277777777778,0.0,0.0,1.0,0.4444444444444444,0.9983228511530396,0.4841784588366211
2026-07-22,54,0.9326266432556749,5.246070318425196,8.605045708166422,0.9895190205988117,1255.7314814814815,0.0,0.0,1.0,0.25925925925925924,0.9991614255765198,0.48412891614880815
