ticker,listing
TM,ADR
SONY,ADR
ASML,ADR
SAP,ADR
NVO,ADR
UL,ADR
BABA,ADR
TSM,ADR
AZN,ADR
HSBC,ADR
BP,ADR
SHEL,ADR
RIO,ADR
DEO,ADR
SNY,ADR
GSK,ADR
BUD,ADR
TD,ADR
SHOP,ADR
SE,ADR
INFY,ADR
IBN,ADR
NGG,ADR
BTI,ADR
RELX,ADR
